,success,timestamp,historical,base,date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
0,True,1514851199,True,EUR,2018-01-01,4.412975,83.395841,132.765995,581.043468,2.138499,198.364593,22.339457,1.539961,2.138663,2.042063,1.959161,2.402992,99.291627,1.959403,0.4532,2103.795425,1.201496,1.603759,8.242486,3.979234,1.201496,8.9600558e-05,76.685483,11.8548,2.439126,23549.321409,2.40035,1.50849,1880.941617,1.170822,0.027298,738.499539,7.81717,3581.659547,679.325862,1.201496,31.839644,110.309344,25.551737,212.460538,7.445423,57.215238,137.753896,21.350631,18.35904,32.620751,1,2.465104,0.888143,0.889131,3.102506,0.889175,5.431357,0.888385,56.902851,10815.866739,8.814158,246.378765,9.385363,28.257983,7.528811,74.504764,310.406496,16295.890116,4.16511,0.889175,76.505256,1422.571252,43324.743534,124.198644,0.889175,148.276625,0.850676,135.504717,123.694009,82.820352,4840.466837,493.81446,1081.346591,1279.124628,0.362883,0.985171,399.73773,9973.617863,1809.092454,184.309478,150.391251,14.838196,3.663003,0.745588,1.630433,11.220752,20.466281,3868.817431,61.348386,1632.83356,2906.418907,9.666993,421.724674,40.129968,18.707477,857.243335,23.607232,4.858821,70.203817,14.846881,428.933473,36.861802,9.846464,122.687123,1.694953,0.46209,1.201496,3.888641,3.894525,59.966534,131.503733,4.178446,6693.53418,4.375012,4.662167,118.72967,69.66358,1004.150274,4.50574,9.310871,16.403977,8.408308,9.823708,1.606724,0.888391,9167.414305,671.6362,8.890122,24510.156814,10.513248,618.746381,14.892546,39.072992,10.59539,4.097101,2.949068,2.718388,4.556431,8.112019,35.767333,2690.149188,33.804098,4360.228761,1.201496,34.579056,9756.14751,11.984907,27272.757483,125.988871,3.057328,655.58429,0.070595,0.000919,3.250891,0.843668,678.833208,119.261695,300.313919,14.886657,10814.90303,11.979648,387.308253
1,True,1514937599,True,EUR,2018-01-02,4.432021,83.85448,132.859093,583.566387,2.147927,199.225902,22.174556,1.540368,2.147949,2.050931,1.95898,2.413426,99.746897,1.956206,0.455171,2112.930208,1.206713,1.610726,8.278416,3.932198,1.206713,8.1771797e-05,77.018455,11.906271,2.449422,23651.573718,2.410765,1.508946,1889.109412,1.172261,0.027006,731.147402,7.832657,3535.427645,682.275528,1.206713,31.977893,110.317695,25.504479,213.383052,7.445732,57.415404,137.789721,21.334882,18.4388,32.785923,1,2.482817,0.886986,0.887622,3.115975,0.887654,5.462184,0.887171,57.077521,10862.829689,8.852466,245.964302,9.431184,28.35534,7.45676,75.576433,309.039192,16306.312023,4.160145,0.887654,76.565938,1428.748127,43510.448369,124.774121,0.887654,148.534292,0.853747,135.44991,124.351773,83.1799,4854.606031,495.959108,1086.041752,1281.577463,0.363345,0.989787,401.473411,9997.616451,1814.896347,185.109758,151.056349,14.987193,3.678903,0.748826,1.632315,11.237754,20.605879,3873.54857,61.265185,1638.716516,2920.245157,9.711866,423.557013,40.18354,18.788685,866.202694,23.544898,4.848551,70.11002,15.012683,429.590128,36.93708,9.799064,122.491021,1.699043,0.463984,1.206713,3.895636,3.915775,60.227013,133.160771,4.162558,6706.910281,4.394009,4.645005,119.2452,69.397457,1008.510344,4.524819,9.3513,16.475243,8.444817,9.845848,1.603564,0.887172,9207.220194,674.552521,8.95363,24510.390379,10.558282,621.433008,15.012692,39.097502,10.641396,4.114891,2.954153,2.747726,4.543882,8.158941,35.739218,2701.829966,33.950844,4397.261793,1.206713,34.705611,9780.408241,12.037007,27391.177134,128.973476,3.069032,655.510571,0.070156,0.000914,3.233631,0.844963,675.590291,119.366816,301.617897,15.003079,10861.85896,12.1028,388.989965
2,True,1515023999,True,EUR,2018-01-03,4.412236,83.501151,132.765008,581.041565,2.138437,198.363944,22.161538,1.534906,2.139257,2.042057,1.959395,2.402984,99.315338,1.954469,0.452915,2103.812588,1.201492,1.60375,8.242004,3.889108,1.189477,7.962926e-05,76.474972,11.854764,2.439128,23549.244269,2.400347,1.507524,1887.543952,1.173881,0.026915,729.005239,7.810886,3485.52845,677.641359,1.201492,31.839539,110.320713,25.501188,213.829542,7.446595,58.152218,137.438675,21.218532,18.009661,32.692598,1,2.483479,0.888622,0.889248,3.100093,0.88927,5.430315,0.888983,56.830573,10817.032676,8.814179,246.630279,9.391846,28.232659,7.429543,75.249449,308.423025,16184.097975,4.141553,0.88927,76.174599,1422.566593,43277.743469,125.07532,0.88927,147.687401,0.850054,135.272384,124.114133,82.820021,4829.997988,492.131153,1081.343258,1277.75072,0.362007,0.985025,400.241027,9960.369463,1816.655632,184.549187,150.186474,14.850346,3.662987,0.745586,1.621989,11.219569,20.515478,3847.177112,61.264082,1629.223357,2908.8121,9.668528,421.723769,40.009684,18.265346,857.240527,23.263174,4.820353,70.107059,14.850108,427.731012,37.009318,9.740133,122.138874,1.694821,0.46149,1.201492,3.864599,3.879016,59.822291,132.66875,4.148028,6738.688455,4.373191,4.620939,117.556744,68.685815,1004.146985,4.505324,9.336196,16.075685,8.408277,9.827712,1.598477,0.888982,9167.384086,669.231336,8.914955,24512.120472,10.512851,618.744354,14.850316,38.832006,10.594278,4.097088,2.967443,2.712243,4.542724,8.051561,35.541335,2688.9389,33.44353,4363.819429,1.201492,34.506851,9732.086134,11.984848,27282.280083,125.796215,3.050347,655.630176,0.070248,0.000916,3.246223,0.842379,676.464081,119.263722,300.252857,14.846833,10814.902798,12.051223,387.306984
3,True,1515110399,True,EUR,2018-01-04,4.433811,84.028088,133.044473,583.850361,2.149437,199.322849,22.466647,1.535084,2.148994,2.051928,1.959085,2.4146,99.795435,1.957156,0.45503,2113.958398,1.2073,1.609931,8.282292,3.904647,1.2073,7.9646158e-05,76.633375,11.876813,2.438228,23663.083004,2.411945,1.50793,1890.024822,1.176466,0.026984,730.356242,7.837074,3481.853642,683.029771,1.2073,31.993454,110.311019,25.53621,213.486889,7.448583,57.419196,138.106684,21.320707,18.447393,32.838565,1,2.487237,0.890261,0.89083,3.10892,0.890856,5.479334,0.890503,57.117371,10863.286568,8.856793,246.083993,9.438189,28.406564,7.430569,75.61321,308.018494,16204.382657,4.156787,0.890856,76.535587,1429.443381,43572.669753,125.197022,0.890856,148.594505,0.854706,136.176212,124.533013,83.067081,4853.345972,496.236581,1086.569719,1280.438343,0.363427,0.989556,400.727083,10002.481487,1817.46968,185.441311,151.117758,14.843461,3.680698,0.74919,1.629608,11.240123,20.565166,3875.43318,61.258412,1637.099437,2922.873594,9.715991,423.76253,39.961633,18.797265,861.336224,23.302101,4.835246,70.023527,14.841287,432.213125,37.004527,9.738228,122.454041,1.686714,0.464566,1.2073,3.872982,3.897769,60.18391,133.310081,4.148766,6785.026598,4.394333,4.629757,118.734827,68.794016,1009.001103,4.527247,9.37408,16.473658,8.448931,9.818134,1.601968,0.8905,9211.700337,660.392954,8.94599,24512.178144,10.563959,621.735409,14.842587,38.899212,10.638846,4.104821,2.956918,2.716787,4.526892,8.115106,35.697452,2703.144725,33.804013,4395.77917,1.2073,34.565002,9780.338315,12.04285,27416.57918,125.981769,3.056526,655.539813,0.070233,0.000914,3.246777,0.84557,676.365741,119.294507,301.76467,14.838076,10867.144524,12.169518,389.179254
4,True,1515196799,True,EUR,2018-01-05,4.419187,83.731984,132.835347,581.87657,2.142214,198.649009,22.692706,1.527972,2.144737,2.044996,1.958965,2.406437,99.470087,1.953792,0.453498,2106.811853,1.203219,1.604497,8.254561,3.884958,1.203219,7.1057537e-05,76.284068,11.813447,2.43098,23583.086492,2.403795,1.492598,1883.643589,1.172181,0.026892,727.82702,7.805766,3495.711344,681.936242,1.203219,31.885296,110.299056,25.505879,214.173361,7.448891,57.201018,137.644613,21.249315,18.385654,32.72755,1,2.469611,0.886296,0.886809,3.098413,0.886804,5.436749,0.886536,56.912243,10825.359059,8.82686,245.25207,9.406167,28.264075,7.430121,75.357588,307.783347,16136.365966,4.124759,0.886804,76.198636,1424.610939,43425.366473,124.537727,0.886804,148.056064,0.851282,135.945666,123.99169,82.898162,4838.142809,494.523307,1082.89725,1277.221211,0.362711,0.9871,396.701219,9981.902743,1811.450298,184.633906,150.522657,14.804129,3.668258,0.746658,1.626155,11.212842,20.495674,3850.300253,61.183668,1631.564972,2912.992886,9.682667,422.330179,40.043117,18.481895,858.424351,23.069359,4.806905,70.183749,14.788012,429.549489,36.891139,9.685795,121.977498,1.678134,0.462642,1.203219,3.860532,3.907457,59.884646,132.775181,4.149304,6762.089497,4.37948,4.626422,118.234772,67.929756,1005.590027,4.511954,9.342396,16.376254,8.42037,9.81279,1.595232,0.886536,9180.559077,660.567473,8.916297,24508.481522,10.528609,619.633542,14.788003,38.683484,10.621057,4.090944,2.993011,2.707608,4.493666,8.096102,35.420398,2692.803851,33.907145,4389.342216,1.203219,34.416418,9764.120141,12.002152,27311.861238,125.555869,3.046193,655.525577,0.069879,0.000912,3.25303,0.843112,673.634003,119.660538,300.443705,14.784314,10830.416473,11.984495,387.863577
5,True,1515283199,True,EUR,2018-01-06,4.418725,83.731984,132.835347,581.87657,2.142214,198.649009,22.6915,1.527972,2.144737,2.044996,1.958965,2.406437,99.470087,1.953792,0.453498,2106.811853,1.203219,1.604497,8.254561,3.884717,1.203219,7.0223666e-05,76.284068,11.813447,2.43098,23583.086492,2.403795,1.492598,1883.643589,1.172662,0.026892,727.82702,7.805766,3494.508125,680.636745,1.203219,31.885296,110.299056,25.505879,214.173361,7.448891,57.201018,137.644613,21.249315,18.385654,32.72755,1,2.469611,0.886296,0.886809,3.098413,0.88685,5.436749,0.886536,56.912243,10825.359059,8.82686,245.25207,9.406167,28.264075,7.430121,75.357588,307.783347,16136.365966,4.124759,0.88685,76.198636,1424.610939,43425.366473,124.537727,0.88685,148.056064,0.851282,135.945666,123.99169,82.898162,4838.142809,494.523307,1082.89725,1277.221211,0.362711,0.9871,396.701219,9981.902743,1811.450298,184.633906,150.522657,14.804129,3.668258,0.746658,1.626155,11.212842,20.495674,3850.300253,61.183668,1631.564972,2912.992886,9.682667,422.330179,40.043117,18.481895,858.424351,23.069359,4.806905,70.183749,14.788012,429.549489,36.891139,9.685795,121.977498,1.677773,0.462642,1.203219,3.860532,3.907457,59.884646,132.775181,4.149304,6762.089497,4.37948,4.626422,118.234772,68.507709,1005.590027,4.511954,9.342396,16.376254,8.42037,9.81279,1.595232,0.886536,9180.559077,660.567473,8.916297,24508.481522,10.528609,619.633542,14.788003,38.683484,10.621057,4.090944,2.993011,2.707608,4.492864,8.096102,35.420398,2692.803851,33.907145,4389.342216,1.203219,34.416418,9764.120141,12.002152,27311.861238,125.555869,3.046193,655.525577,0.069879,0.000912,3.25303,0.843112,673.634003,119.660538,300.443705,14.784314,10830.416473,11.984495,387.863577
6,True,1515369599,True,EUR,2018-01-07,4.422018,83.792664,132.931611,582.29825,2.143912,198.792968,22.707945,1.531239,2.143281,2.046474,1.959178,2.408181,99.542172,1.955204,0.453819,2108.338637,1.204091,1.605655,8.260208,3.887529,1.204091,7.4461119e-05,76.33935,11.822,2.432639,23600.176908,2.405533,1.492422,1885.00292,1.174013,0.026899,728.354468,7.81142,3497.040559,681.129995,1.204091,31.908402,110.306746,25.523111,212.919354,7.447855,57.242471,137.540864,21.263997,18.39892,32.751267,1,2.471398,0.887176,0.886873,3.114619,0.887042,5.440684,0.887534,56.953487,10833.203515,8.833187,245.429801,9.415436,28.344295,7.435505,75.412199,308.271277,16150.468003,4.126778,0.887042,76.253856,1425.64334,43456.835481,124.618597,0.887042,148.404127,0.852477,136.236834,124.081546,82.958238,4841.648156,494.881131,1083.681588,1276.360204,0.362676,0.987647,396.988705,9989.135923,1812.757835,184.767708,150.631739,14.811469,3.670916,0.747198,1.627332,11.220874,20.510482,3853.089818,61.228008,1632.746788,2915.103587,9.689683,422.636303,40.072136,18.495367,859.046442,23.091926,4.810347,70.234611,14.794668,429.860147,36.917389,9.683442,122.065893,1.678746,0.463334,1.204091,3.863328,3.910279,59.927643,132.871402,4.153509,6766.989839,4.384456,4.616607,118.320455,68.6292,1006.318768,4.515458,9.349165,16.451446,8.426468,9.807776,1.597178,0.887529,9187.212239,661.045753,8.922238,24509.8674,10.535856,620.082583,14.849448,38.711517,10.628751,4.093908,2.946533,2.707035,4.494511,8.101962,35.479712,2695.959261,33.930981,4392.522381,1.204091,34.436631,9771.195536,12.010785,27331.653859,125.670946,3.04526,655.591206,0.069851,0.000913,3.253838,0.843723,674.122178,119.366326,300.962456,14.809476,10838.269797,11.993025,388.144657
7,True,1515455999,True,EUR,2018-01-08,4.397173,83.309682,132.902931,580.018791,2.13105,199.208082,22.772466,1.525623,2.131234,2.034974,1.959175,2.394644,99.006576,1.955829,0.451269,2096.487222,1.197322,1.596632,8.213885,3.865672,1.197322,7.9905421e-05,75.85036,11.767047,2.418581,23467.515348,2.392008,1.486463,1874.410947,1.170239,0.026748,724.870808,7.778887,3479.777602,676.51102,1.197322,31.729039,110.297326,25.542354,212.404953,7.448134,56.872101,136.979646,21.132787,18.283374,32.579136,1,2.475463,0.882066,0.882271,3.088488,0.882321,5.434048,0.882303,56.693204,10653.773444,8.783534,244.050189,9.364286,28.164612,7.437651,74.988291,308.801376,16075.248013,4.123697,0.882321,75.992846,1417.629499,43258.054275,124.88071,0.882321,147.36642,0.84711,135.471018,123.264318,82.461978,4807.248578,492.123362,1077.58966,1277.722427,0.360633,0.981499,395.200151,9919.814253,1802.565187,184.02842,150.048044,14.822967,3.650275,0.742998,1.618542,11.209342,20.384407,3856.574583,60.883832,1623.568868,2898.716716,9.636769,420.259877,39.870828,18.642626,859.461838,22.980927,4.783287,69.444665,14.812033,425.049121,36.662007,9.667,121.432416,1.668231,0.45989,1.197322,3.847591,3.902916,60.057437,131.573737,4.170636,6728.951131,4.35801,4.650765,117.958865,68.362908,1000.662038,4.490077,9.417297,16.26921,8.368784,9.823193,1.594881,0.882302,9135.568921,657.330143,8.872373,24508.587011,10.47675,616.596968,14.813246,38.553776,10.567805,4.070896,2.949844,2.691819,4.480616,7.937641,35.322201,2672.422981,33.74023,4363.042374,1.197322,34.25539,9723.45359,11.943294,27178.016881,125.15609,3.028148,655.569865,0.070009,0.000908,3.231844,0.840689,676.475064,119.2976,299.270683,14.827281,10777.337025,11.973594,385.962815
8,True,1515542399,True,EUR,2018-01-09,4.382398,83.292381,133.172338,578.046718,2.123445,198.538964,22.589501,1.527544,2.124075,2.02813,1.958925,2.386601,98.709822,1.956057,0.449755,2089.445352,1.193301,1.59127,8.185408,3.876997,1.193301,8.2755231e-05,75.625424,11.762247,2.410259,23388.690538,2.383973,1.488463,1868.116281,1.173854,0.026765,724.751053,7.787718,3469.998517,674.011963,1.193301,31.622464,110.308704,25.530663,211.011336,7.448678,56.645978,136.885889,21.037887,18.222145,32.469706,1,2.407605,0.880779,0.881826,3.067145,0.881938,5.430693,0.881013,56.514715,10617.987849,8.75407,245.19939,9.333388,28.089084,7.444044,74.736414,309.387017,16031.992724,4.105191,0.881938,75.970287,1412.867837,43220.152247,125.177229,0.881938,147.551614,0.844264,134.550599,122.850287,82.258977,4797.068193,490.494264,1073.970183,1278.311256,0.359425,0.978137,394.540963,9892.461837,1796.512076,183.410289,149.926278,14.784739,3.638014,0.740503,1.615132,11.190657,20.339843,3842.428024,61.252119,1597.829472,2888.980889,9.609052,418.848574,39.736907,18.579679,851.324449,22.964595,4.781566,69.211079,14.715783,427.202107,36.550794,9.68034,121.587776,1.669907,0.458824,1.193301,3.83837,3.770707,59.963067,131.800041,4.191107,6705.871818,4.34338,4.642414,117.875901,67.852858,997.300924,4.475001,9.33794,16.171635,8.350955,9.823668,1.593904,0.881013,9104.882786,652.735115,8.818618,24510.27418,10.440932,614.525887,14.71626,38.507752,10.523838,4.069155,2.946854,2.68278,4.496596,7.981389,35.23339,2671.799795,33.657032,4351.967332,1.193301,34.164193,9619.195585,11.9032,27097.468609,124.938563,3.017975,655.50386,0.070399,0.00091,3.218783,0.839406,674.202858,119.219049,298.265466,14.727004,10741.137284,11.730223,384.666408
